Stationsnummer: 2135
Stationsname: Bern, Schönau
DBLH-Nr: 00985
Gewässer: Aare
Exportperiode: 2024-01-01 - 2024-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-31 00:00:00;;12.43;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-01 00:00:00;;12.63;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-02 00:00:00;;12.82;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-03 00:00:00;;12.89;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-04 00:00:00;;12.83;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-05 00:00:00;;13.01;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-06 00:00:00;;13.34;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-07 00:00:00;;14.65;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-08 00:00:00;;15.12;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-09 00:00:00;;14.77;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-06-10 00:00:00;;13.94;Freigegeben, geprüfte Daten
