Stationsnummer: 2135
Stationsname: Bern, Schönau
DBLH-Nr: 00985
Gewässer: Aare
Exportperiode: 2024-01-01 - 2024-12-31
Parameter: Pegel
Parametereinheit: m ü.M.
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-08 00:00:00;;502.825;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-09 00:00:00;;502.698;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-10 00:00:00;;502.620;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-11 00:00:00;;502.574;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-12 00:00:00;;502.616;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-13 00:00:00;;502.756;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-14 00:00:00;;502.752;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-15 00:00:00;;502.751;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-16 00:00:00;;502.763;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-17 00:00:00;;502.820;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-18 00:00:00;;502.689;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-19 00:00:00;;502.632;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-20 00:00:00;;502.534;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-21 00:00:00;;502.556;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-22 00:00:00;;502.575;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-23 00:00:00;;502.678;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-24 00:00:00;;502.807;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-25 00:00:00;;502.760;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-26 00:00:00;;502.612;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-27 00:00:00;;502.662;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-28 00:00:00;;502.976;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-29 00:00:00;;503.004;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-30 00:00:00;;502.936;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-31 00:00:00;;503.279;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-06-01 00:00:00;;503.357;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-06-02 00:00:00;;503.298;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-06-03 00:00:00;;503.359;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-06-04 00:00:00;;503.344;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-06-05 00:00:00;;503.360;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-06-06 00:00:00;;503.315;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-06-07 00:00:00;;503.278;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-06-08 00:00:00;;503.248;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-06-09 00:00:00;;503.179;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-06-10 00:00:00;;503.340;Freigegeben, geprüfte Daten
