Index,station_id,station_name,iso_country_code,latitude,longitude,elevation
GME00125242,GME00125242,LENNINGEN-SCHOPFLOCH,DE,48.5406,9.5283,758.0
GME00125338,GME00125338,BAD LIEBENZELL,DE,48.7733,8.7294,352.0
GME00125398,GME00125398,LINDENFELS-WINTERKASTEN,DE,49.7128,8.7814,445.0
GME00125494,GME00125494,LOHR/MAIN-STEINBACH,DE,50.0114,9.6108,161.0
GME00125506,GME00125506,LORCH/RHEIN,DE,50.0364,7.8206,100.0
GME00125650,GME00125650,MAINHARDT-ZIEGELBRONN,DE,49.0653,9.5831,473.0
GME00125662,GME00125662,MAINZ-LERCHENBERG (ZDF),DE,49.9681,8.2117,195.0
GME00125674,GME00125674,MAISACH-GERNLINDEN,DE,48.2175,11.2978,509.0
GME00125686,GME00125686,MALLERSDORF/NIEDERBAYERN,DE,48.7781,12.2544,410.0
GME00125710,GME00125710,MANDERSCHEID-SONNENHOF,DE,50.1028,6.8019,413.0
GME00125806,GME00125806,HEINERSREUTH-VOLLHOF,DE,49.9678,11.5208,350.0
GME00125818,GME00125818,MAUTH-FINSTERAU,DE,48.9367,13.5781,4.0
GME00125914,GME00125914,MEMMINGEN,DE,47.9831,10.1392,615.0
GME00125926,GME00125926,MEMMINGEN (FLUGPLATZ),DE,47.9831,10.2331,630.0
GME00125974,GME00125974,BAD-NEUNKIRCHEN MERGENTHEIM,DE,49.4781,9.7631,250.0
GME00126010,GME00126010,METTEN,DE,48.8556,12.9203,313.0
GME00126022,GME00126022,METZINGEN,DE,48.5383,9.2742,355.0
GME00126046,GME00126046,MICHELSTADT,DE,49.67,9.0119,240.0
GME00126058,GME00126058,MICHELSTADT-VIELBRUNN,DE,49.7189,9.1006,453.0
GME00126082,GME00126082,MILTENBERG,DE,49.7131,9.2267,128.0
GME00126106,GME00126106,MITTENWALD-BUCKELWIESEN,DE,47.4783,11.2667,981.0
GME00126118,GME00126118,BEERFELDEN,DE,49.5628,8.9689,450.0
GME00126130,GME00126130,MODAUTAL-NEUNKIRCHEN,DE,49.7339,8.7781,508.0
GME00126154,GME00126154,ROLLBACH,DE,49.7656,9.2542,239.0
GME00126226,GME00126226,MUHLDORF,DE,48.28,12.5039,405.0
GME00126298,GME00126298,MUNCHEN-PERLACH,DE,48.0928,11.65,542.0
GME00126322,GME00126322,MUNSINGEN-APFELSTETTEN,DE,48.3864,9.4842,750.0
GME00126346,GME00126346,MURRHARDT,DE,48.9739,9.5717,344.0
GME00126382,GME00126382,NAGOLD,DE,48.5675,8.7192,380.0
GME00126418,GME00126418,NEUBURG/DONAU (FLUGPLATZ),DE,48.7092,11.21,380.0
GME00126430,GME00126430,NEUBURG/KAMMEL-LANGENHASLACH,DE,48.3125,10.3781,495.0
GME00126442,GME00126442,NEUDENAU,DE,49.2942,9.2731,212.0
GME00126514,GME00126514,NEUHAUSEN OB ECK-UNTERSCHWANDO,DE,47.9531,8.9942,663.0
GME00126586,GME00126586,NEUNKIRCHEN-WELLESWEILER,DE,49.3444,7.2303,236.0
GME00126610,GME00126610,NEUSTADT/AISCH,DE,49.5739,10.6014,315.0
GME00126622,GME00126622,NEUSTADT AM KULM-FILCHENDORF,DE,49.8183,11.8653,452.0
GME00126646,GME00126646,NEUSTADT/WEINSTRASSE (HEIDEHOF,DE,49.3489,8.1831,125.0
